dorms,banho,vagas,bairro,area,valor
4,4,2,centro,160,650000
5,2,4,centro,360,455000
4,4,2,centro,350,4000000
3,4,1,centro,150,850000
3,2,2,centro,136,756000
3,2,1,centro,186,997000
4,5,4,centro,385,2700000
3,3,1,centro,191,800000
3,4,1,centro,202,890000
4,3,2,centro,269,1500000
3,2,1,centro,100,718000
4,2,2,centro,350,2150000
3,1,3,centro,224,1200000
5,5,3,centro,423,2200000
3,2,1,centro,160,430000
2,1,1,centro,100,380000
4,2,1,centro,200,345000
2,1,0,centro,250,260000
2,2,1,centro,100,195000
4,2,1,centro,150,486000
4,2,1,centro,80,172000
4,2,2,centro,150,295000
6,3,1,centro,129,420000
3,2,1,centro,162,260000
3,2,1,centro,189,260000
2,3,2,centro,243,390000
2,1,1,centro,70,220000
3,1,0,centro,140,290000
3,2,1,centro,150,430000
3,3,4,centro,143,420000
4,4,0,centro,150,890000
3,1,1,centro,100,230000
2,2,1,centro,70,245000
3,1,2,centro,180,730000
4,5,2,centro,194,1100000
3,2,1,centro,130,320000
2,2,4,centro,85,220000
3,1,2,centro,145,380000
3,3,2,centro,180,650000
5,3,4,centro,150,365000
4,4,1,centro,210,1600000
2,4,1,centro,250,850000
3,3,1,centro,196,590000
3,2,2,centro,180,420000
2,2,1,centro,110,430000
3,3,2,centro,180,650000
7,4,1,centro,230,550000
4,2,1,centro,163,900000
4,2,4,centro,144,380000
3,3,2,centro,210,950000
4,4,1,centro,197,870000
4,4,1,centro,320,4000000
4,4,1,centro,320,4000000
5,3,1,centro,205,530000
4,4,2,centro,285,1850000
3,2,6,centro,136,745000
3,2,6,centro,136,745000
3,2,2,centro,190,650000
5,6,2,centro,300,1700000
3,1,3,centro,105,265000
4,3,4,centro,200,625000
2,1,1,centro,82,250000
3,1,4,centro,143,420000
3,2,2,centro,180,790000
3,4,2,centro,183,790000
3,3,1,centro,300,897000
8,1,4,centro,278,599000
4,2,6,centro,250,1250000
3,2,2,centro,122,450000
3,2,1,centro,200,370000
2,2,1,centro,70,179000
2,1,1,centro,71,228000
3,2,2,centro,180,790000
5,1,2,centro,230,1500000
3,1,2,centro,186,997000
2,2,1,centro,79,190000
4,1,1,centro,200,600000
3,1,0,centro,150,730000
5,1,2,centro,230,1500000
3,1,0,centro,162,415000
1,2,0,centro,120,550000
4,2,2,centro,200,480000
3,3,3,centro,160,830000
4,4,3,centro,321,1300000
4,3,2,centro,209,398000
2,2,3,centro,100,300000
3,1,0,centro,162,415000
5,5,2,centro,363,2650000
4,5,1,centro,280,420000
3,5,3,centro,154,450000
2,1,2,centro,60,250000
2,1,0,centro,70,149000
1,2,0,centro,120,550000
2,2,2,centro,70,179000
2,1,0,centro,74,135000
3,1,3,centro,180,750000
2,2,1,centro,72,260000
3,2,0,centro,143,420000
2,2,1,centro,110,250000
2,1,0,centro,65,140000
3,2,1,centro,98,378000
4,5,2,centro,254,1800000
3,2,2,centro,110,345000
4,5,2,centro,308,2200000
2,1,2,centro,102,170000
2,2,0,centro,65,209000
3,2,1,centro,89,200000
3,3,2,centro,136,950000
3,2,2,centro,100,360000
2,1,0,centro,52,220000
3,2,1,centro,168,555000
3,3,2,centro,123,302000
2,1,2,centro,110,350000
3,2,1,centro,120,420000
2,1,0,centro,65,238000
2,1,0,centro,60,162000
2,1,2,centro,140,550000
2,1,1,centro,69,160000
2,2,0,centro,65,250000
3,2,2,centro,110,320000
3,1,0,centro,143,420000
2,1,0,centro,64,300000
2,2,2,centro,85,248000
2,2,0,centro,63,199000
2,2,0,centro,65,250000
3,2,0,centro,100,320000
3,2,2,centro,110,265000
2,1,0,centro,70,185000
3,2,0,centro,90,350000
2,1,1,centro,80,169000
3,1,0,centro,143,420000
4,5,2,centro,357,3800000
3,2,0,centro,70,320000
2,2,1,centro,159,424000
6,7,4,centro,390,11800000
4,3,1,centro,186,500000
3,2,2,centro,167,174000
3,2,0,centro,109,270000
4,2,1,centro,113,100000
4,2,1,centro,162,520000
2,1,0,centro,98,220000
3,4,1,centro,301,650000
3,2,1,centro,114,325000
2,2,1,centro,110,315000
4,2,1,centro,93,600000
4,5,1,centro,156,780000
3,2,1,centro,94,800000
3,2,1,centro,102,240000
4,2,1,centro,189,455000
3,4,1,centro,111,780000
4,3,1,centro,135,370000
3,1,2,centro,130,680000
3,2,1,centro,112,380000
4,3,1,centro,119,378000
2,1,1,centro,85,140000
3,2,1,centro,114,420000
1,1,1,centro,96,240000
3,2,1,centro,169,550000
5,5,3,centro,423,2200000
2,1,0,centro,64,300000
3,1,0,centro,136,450000
2,1,1,centro,71,179000
3,1,1,centro,109,250000
4,2,1,centro,109,350000
2,1,0,centro,61,198000
3,2,1,centro,116,530000
3,2,1,centro,114,480000
4,4,0,centro,201,750000
3,2,2,centro,136,756000
3,2,2,centro,90,155000
2,1,1,centro,60,189000
3,1,1,centro,109,424000
3,2,1,centro,116,410000
4,2,1,centro,110,950000
4,5,1,centro,199,1000000
3,2,1,centro,109,424000
2,1,1,centro,116,210000
4,5,1,centro,116,424000
2,1,0,centro,150,195000
4,3,1,centro,103,500000
3,2,0,centro,109,270000
4,3,1,centro,186,500000
3,2,1,centro,91,1000000
2,2,1,centro,112,220000
3,2,1,centro,100,430000
3,2,1,centro,111,312000
3,4,1,centro,146,680000
3,1,0,centro,109,220000
2,1,1,centro,110,230000
3,2,1,centro,102,240000
3,2,1,centro,106,420000
3,2,1,centro,109,470000
2,1,1,centro,129,468000
5,3,1,centro,206,700000
3,2,1,centro,106,281000
3,2,1,centro,124,1200000
3,2,1,centro,98,710000
2,1,0,centro,79,160000
2,1,0,centro,126,212000
5,4,1,centro,115,1700000
2,1,0,centro,200,90000
4,2,1,centro,132,285000
5,5,1,centro,162,530000
2,1,0,centro,96,280000
2,1,1,centro,102,223000
2,2,1,centro,159,424000
3,2,0,centro70,320000
2,1,0,centro,71,178000
3,2,1,centro,198,490000
2,1,0,centro,100,190000
4,5,1,centro,156,780000
3,4,1,centro,301,650000
4,5,1,centro,206,1750000
4,2,1,centro,93,600000
4,3,1,centro,297,1500000
3,2,1,centro,94,800000
3,2,1,centro,198,500000
2,1,0,centro,85,140000
4,2,1,centro,189,455000
3,2,1,centro,112,380000
4,3,1,centro,119,378000
4,2,1,centro,162,520000
3,2,1,centro,114,420000
1,1,1,centro,96,240000
3,2,1,centro,114,325000
3,2,1,centro,169,550000
3,2,2,centro,167,173000
3,3,1,centro,152,485000
3,2,1,centro,126,330000
3,3,1,centro,203,450000
4,5,1,centro,189,1026000
3,3,1,centro,100,680000
3,2,1,centro,109,371000
3,2,1,centro,165,780000
4,2,1,centro,149,550000
2,1,0,centro,98,220000
4,2,1,centro,135,400000
3,2,1,centro,102,790000
2,2,0,centro,65,250000
3,2,2,centro,110,320000
2,1,0,centro,115,129000
3,1,0,centro,143,420000
2,2,2,centro,85,248000
3,2,1,centro,102,260000
2,1,0,centro,64,300000
2,1,0,centro,60,162000
2,2,0,centro,65,250000
2,2,0,centro,63,199000
3,2,2,centro,110,265000
2,1,1,centro,80,169000
2,1,4,centro,70,185000
2,1,2,centro,102,170000
4,2,1,centro,113,100000
4,2,1,centro,115,690000
4,3,1,centro,135,370000
3,2,0,centro,100,320000
3,2,0,centro,120,420000
3,2,0,centro,90,350000
2,1,1,centro,69,160000
2,2,0,centro,65,209000
3,2,2,centro,167,173000
3,2,1,centro,89,200000
3,2,1,centro,168,555000
3,3,2,centro,136,950000
3,2,2,centro,100,360000
2,1,0,centro,65,238000
3,3,0,centro,123,302000
3,2,1,centro,98,378000
2,1,2,centro,65,198000
3,2,2,centro,140,345000
3,1,0,centro,180,750000
2,1,0,centro,70,149000
2,1,1,centro,74,210000
2,1,2,centro,65,198000
2,2,1,centro,72,260000
3,2,0,centro,143,420000
2,1,0,centro,65,140000
4,4,3,centro,321,1300000
2,1,0,centro,99,270000
2,1,0,centro,60,250000
1,2,0,centro,120,550000
3,2,1,centro,186,997000
8,1,4,centro,278,599000
2,2,4,centro,85,220000
5,1,2,centro,230,1500000
4,2,2,centro,200,480000
3,3,3,centro,160,830000
