dorms,banho,vagas,bairro,area,valor
4,4,2,5,160,650000
2,2,2,14,170,480000
3,1,2,15,100,325000
3,1,4,14,200,500000
2,1,2,5,76,240000
3,1,2,15,100,325000
3,1,4,14,200,500000
3,2,1,11,129,320000
4,4,4,14,180,890000
3,2,1,4,288,750000
2,1,2,15,130,318000
5,2,4,5,360,455000
2,2,1,10,125,400000
2,1,2,15,130,364000
5,4,2,1,180,850000
4,4,2,5,350,4000000
3,4,1,5,150,850000
3,2,1,14,149,320000
2,1,2,9,62,155000
2,1,1,2,56,189000
3,2,1,8,180,800000
4,3,2,14,400,2100000
5,2,3,11,171,600000
1,1,1,15,58,130000
4,2,2,4,100,250000
3,3,2,4,111,530000
1,1,0,8,75,380000
3,2,2,5,136,756000
3,3,2,15,140,228000
3,2,1,5,186,997000
4,5,4,5,385,2700000
3,2,1,9,146,480000
3,2,2,10,170,429000
4,4,4,14,251,1590000
1,2,3,14,99,270000
4,5,2,6,205,899000
4,4,1,8,340,2500000
3,2,1,11,400,230000
4,5,4,4,137,756000
3,2,2,6,240,1200000
3,3,2,14,300,800000
3,2,2,9,136,480000
3,3,2,14,300,896000
4,3,1,14,180,830000
5,3,4,4,267,730000
4,3,1,1,204,650000
3,2,2,6,205,650000
4,2,2,10,130,310000
3,2,1,9,140,350000
3,2,2,14,200,520000
3,2,1,4,105,303000
4,2,2,4,225,380000
1,1,0,11,90,323000
3,2,2,15,130,165000
2,1,0,9,62,275000
4,4,2,6,320,3200000
2,1,0,9,72,235000
3,2,1,14,140,660000
4,4,1,14,150,1250000
3,3,1,5,191,800000
4,2,1,8,400,1500000
3,4,1,5,202,890000
3,2,1,11,138,350000
2,2,2,10,243,390000
2,1,1,10,53,190000
2,2,1,4,74,240000
3,2,1,4,113,250000
4,3,2,5,269,1500000
3,4,1,8,120,1100000
3,2,1,14,200,500000
5,3,2,14,200,1200000
3,2,1,14,180,600000
3,2,1,9,122,395000
4,2,1,2,270,432000
3,2,2,8,300,1500000
3,2,1,10,130,370000
5,3,1,6,360,2300000
3,2,1,5,100,718000
3,3,2,6,236,1650000
3,2,1,4,111,470000
4,5,2,6,400,2500000
2,1,1,10,70,157000
4,4,4,14,197,890000
2,1,1,9,70,220000
3,2,1,4,196,380000
3,2,2,14,150,895000
5,2,3,11,171,600000
4,5,2,6,205,900000
4,5,1,1,328,1500000
3,3,1,4,102,346000
3,2,1,14,150,650000
3,2,1,9,122,395000
3,2,2,4,76,290000
4,2,2,4,100,250000
3,2,1,8,180,800000
3,1,1,14,149,320000
3,2,2,15,135,380000
4,2,2,10,130,310000
4,5,3,6,320,2000000
4,2,2,5,350,2150000
3,1,1,14,149,320000
3,3,3,6,186,997000
3,1,1,4,105,303000
4,1,1,11,110,378000
3,1,3,5,224,1200000
3,2,1,10,115,300000
2,1,1,9,74,262500
3,3,2,6,180,910000
2,2,1,10,80,185000
2,2,2,6,119,504000
4,4,2,6,255,1800000
3,1,0,14,150,650000
4,4,2,6,195,979000
3,2,2,8,160,750000
3,1,2,15,135,380000
3,1,3,8,300,1500000
3,3,3,12,200,500000
5,5,3,5,423,2200000
4,2,2,14,400,2100000
1,1,1,5,210,4900000
3,4,3,6,165,715000
3,2,1,5,160,430000
2,1,1,5,100,380000
4,2,1,5,200,345000
2,1,0,5,250,260000
2,2,1,5,100,195000
4,2,1,5,150,486000
4,2,1,5,80,172000
4,2,2,5,150,295000
6,3,1,5,129,420000
3,2,1,5,162,260000
3,2,1,5,189,260000
3,2,1,9,138,210000
2,1,2,9,70,220000
3,2,2,9,85,270000
2,1,1,9,138,229000
4,2,1,9,133,245000
3,2,1,14,175,168000
6,6,2,6,466,6200000
5,6,2,6,260,2950000
4,2,1,15,110,260000
6,3,2,14,220,2100000
6,3,2,14,400,2100000
7,3,2,13,230,1500000
6,3,4,8,200,1500000
3,1,1,14,250,1150000
4,3,2,8,170,595000
3,2,2,13,150,550000
3,2,1,14,150,550000
3,2,2,14,137,480000
3,2,1,14,136,450000
2,1,1,10,120,345000
1,1,0,14,105,320000
2,1,1,9,75,295000
3,2,1,9,80,300000
5,2,0,1,170,300000
2,1,1,9,72,220000
2,2,1,10,96,220000
2,1,1,9,78,220000
2,1,1,11,70,110000
3,4,2,6,176,790000
4,5,2,6,204,890000
2,3,2,5,243,390000
2,1,1,5,70,220000
3,4,2,6,180,890000
3,1,0,5,140,290000
5,3,5,14,200,500000
3,2,1,5,150,430000
3,2,2,10,83,270000
4,3,2,14,300,800000
3,2,1,9,96,235000
3,4,2,6,180,890000
4,4,2,6,160,695000
4,5,2,6,210,2900000
3,4,2,6,155,750000
2,2,2,4,76,195000
4,2,2,6,144,750000
4,2,2,4,100,250000
3,4,2,6,170,1250000
3,3,2,6,160,570000
3,3,1,14,180,600000
3,3,2,14,150,590000
