dorms,banho,vagas,bairro,area,valor
4,4,2,centro,160,650000
2,2,2,zonanova,170,480000
3,1,2,zonanorte,100,325000
3,1,4,zonanova,200,500000
2,1,2,beiramar,76,240000
3,1,2,zonanorte,100,325000
3,1,4,zonanova,200,500000
3,2,1,praiadobarco,129,320000
4,4,4,zonanova,180,890000
3,2,1,capaonovo,288,750000
2,1,2,zonanorte,130,318000
5,2,4,centro,360,455000
2,2,1,jardim,125,400000
2,1,2,zonanorte,130,364000
5,4,2,araca,180,850000
4,4,2,centro,350,4000000
3,4,1,centro,150,850000
3,2,1,zonanova,149,320000
2,1,2,guarani,62,155000
2,1,1,arcoiris,56,189000
3,2,1,girassol,180,800000
4,3,2,zonanova,400,2100000
5,2,3,praiadobarco,171,600000
1,1,1,zonanorte,58,130000
4,2,2,capaonovo,100,250000
3,3,2,capaonovo,111,530000
1,1,0,girassol,75,380000
3,2,2,centro,136,756000
3,3,2,zonanorte,140,228000
3,2,1,centro,186,997000
4,5,4,centro,385,2700000
5,6,2,novohorizonte,310,1500000
3,2,1,guarani,146,480000
3,2,2,jardim,170,429000
4,4,4,zonanova,251,15900000
1,2,3,zonanova,99,270000
4,5,2,cond,205,899000
4,4,1,girassol,340,2500000
3,2,1,praiadobarco,400,230000
4,5,4,capaonovo,137,756000
3,2,2,cond,240,1200000
3,3,2,zonanova,300,800000
3,2,2,guarani,136,480000
3,3,2,zonanova,300,896000
4,3,1,zonanova,180,830000
5,3,4,capaonovo,267,730000
4,3,1,araca,204,650000
3,2,2,cond,205,650000
4,2,2,jardim,130,310000
3,2,1,guarani,140,350000
3,2,2,zonanova,200,520000
3,2,1,capaonovo,105,303000
4,2,2,capaonovo,225,380000
1,1,0,praiadobarco,90,323000
3,2,2,zonanorte,130,165000
2,1,0,guarani,62,275000
4,4,2,cond,320,3200000
2,1,0,guarani,72,235000
3,2,1,zonanova,140,660000
4,4,1,zonanova,150,1250000
3,3,1,centro,191,800000
4,2,1,girassol,400,1500000
3,4,1,centro,202,890000
3,2,1,praiadobarco,138,350000
2,2,2,jardim,243,390000
2,1,1,jardim,53,190000
2,2,1,capaonovo,74,240000
3,2,1,capaonovo,113,250000
4,3,2,centro,269,1500000
3,4,1,girassol,120,1100000
3,2,1,zonanova,200,500000
5,3,2,zonanova,200,1200000
3,2,1,zonanova,180,600000
3,2,1,guarani,122,395000
4,2,1,arcoiris,270,432000
3,2,2,girassol,300,1500000
3,2,1,jardim,130,370000
5,3,1,cond,360,2300000
3,2,1,centro,100,718000
3,3,2,cond,236,1650000
3,2,1,capaonovo,111,470000
4,5,2,cond,400,2500000
2,1,1,jardim,70,157000
4,4,4,zonanova,197,890000
2,1,1,guarani,70,220000
3,2,1,capaonovo,196,380000
3,2,2,zonanova,150,895000
5,2,3,praiadobarco,171,600000
4,5,2,cond,205,900000
4,5,1,araca,328,1500000
3,3,1,capanovo,102,346000
3,2,1,zonanova,150,650000
3,2,1,guarani,122,395000
3,2,2,capaonovo,76,290000
4,2,2,capaonovo,100,250000
3,2,1,girassol,180,800000
3,1,1,zonanova,149,320000
3,2,2,zonanorte,135,380000
4,2,2,jardim,130,310000
4,5,3,cond,320,2000000
4,2,2,centro,350,2150000
3,1,1,zonanova,149,320000
3,3,3,cond,186,997000
3,1,1,capaonovo,105,303000
4,1,1,praiadobarco,110,378000
3,1,3,centro,224,1200000
3,2,1,jardim,115,300000
2,1,1,guarani,74,262500
3,3,2,cond,180,910000
2,2,1,jardim,80,185000
2,2,2,cond,119,504000
4,4,2,cond,255,1800000
3,1,0,zonanova,150,650000
4,4,2,cond,195,979000
3,2,2,girassol,160,750000
3,1,2,zonanorte,135,380000
3,1,3,girassol,300,1500000
3,3,3,santaluzia,200,500000
5,5,3,centro,423,2200000
4,2,2,zonanova,400,2100000
1,1,1,beiramar,210,4900000
3,4,3,cond,165,715000
3,2,1,centro,160,430000
2,1,1,centro,100,380000
4,2,1,centro,200,345000
2,1,0,centro,250,260000
2,2,1,centro,100,195000
4,2,1,centro,150,486000
4,2,1,centro,80,172000
4,2,2,centro,150,295000
6,3,1,centro,129,420000
3,2,1,centro,162,260000
3,2,1,centro,189,260000
3,2,1,guarani,138,210000
2,1,2,guarani,70,220000
3,2,2,guarani,85,270000
2,1,1,guarani,138,229000
4,2,1,guarani,133,245000
3,2,1,zonanova,175,168000
6,6,2,cond,466,6200000
5,6,2,cond,260,2950000
4,2,1,zonanorte,110,260000
6,3,2,zonanova,220,2100000
6,3,2,zonanova,400,2100000
7,3,2,santoantonio,230,1500000
6,3,4,girassol,200,1500000
3,1,1,zonanova,250,1150000
4,3,2,girassol,170,595000
3,2,2,santoantonio,150,550000
3,2,1,zonanova,150,550000
3,2,2,zonanova,137,480000
3,2,1,zonanova,136,450000
2,1,1,jardim,120,345000
